Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10
Festival,Poisson,38,Background,45,37,136.0810810810811,115.0,305.9999999999999,0.38004240586167093,10,10,0,1
Festival,Poisson,38,Total,55,47,122.08510638297872,95.0,293.1999999999999,0.38662741113739685,10,10,0,1
Festival,Poisson,39,Target,10,10,254.9,245.0,432.2,0.23032561788936837,10,10,0,1
Festival,Poisson,39,Background,56,52,185.05769230769232,135.0,503.49999999999994,0.38058857384951117,10,10,0,1
Festival,Poisson,39,Total,66,62,196.32258064516128,152.5,495.7499999999997,0.36727073240541486,10,10,0,1
Festival,Poisson,40,Target,10,10,161.4,151.0,240.95,0.14919454770755886,10,10,0,1
Festival,Poisson,40,Background,34,29,177.06896551724137,145.0,410.1999999999996,0.2777691971930296,10,10,0,1
Festival,Poisson,40,Total,44,39,173.05128205128204,145.0,316.7000000000003,0.2507645957045868,10,10,0,1
Festival,Poisson,41,Target,10,10,96.9,71.0,202.94999999999993,0.2913312693498452,10,10,0,1
Festival,Poisson,41,Background,46,43,142.6046511627907,125.0,368.9999999999998,0.29120587387551383,10,10,0,1
Festival,Poisson,41,Total,56,53,133.9811320754717,115.0,288.9999999999998,0.30407622630881115,10,10,0,1
Festival,Poisson,42,Target,10,10,206.6,161.5,403.6999999999999,0.2804453049370765,10,10,0,1
Festival,Poisson,42,Background,59,54,173.05555555555554,140.0,433.6499999999986,0.3938866099914789,10,10,0,1
Festival,Poisson,42,Total,69,64,178.296875,152.5,446.89999999999935,0.3790900775567435,10,10,0,1
Festival,Poisson,43,Target,10,10,77.5,62.5,177.84999999999985,0.3332903225806451,10,10,0,1
Festival,Poisson,43,Background,40,37,167.43243243243242,145.0,397.0,0.3507100320659643,10,10,0,1
Festival,Poisson,43,Total,50,47,148.29787234042553,125.0,391.49999999999994,0.383601453035807,10,10,0,1
Festival,Poisson,44,Target,10,10,217.6,159.0,467.9999999999999,0.3935661764705882,10,10,0,1
Festival,Poisson,44,Background,45,41,148.3658536585366,125.0,356.0,0.33029273906087736,10,10,0,1
Festival,Poisson,44,Total,55,51,161.94117647058823,130.0,423.5,0.36148325415648763,10,10,0,1
Festival,Poisson,45,Target,10,10,64.3,61.0,99.89999999999998,0.16998444790046657,10,10,0,1
Festival,Poisson,45,Background,42,39,167.25641025641025,115.0,451.30000000000007,0.3804919083165289,10,10,0,1
Festival,Poisson,45,Total,52,49,146.24489795918367,105.0,430.9999999999998,0.40023466824631054,10,10,0,1
Festival,Poisson,46,Target,10,10,230.5,235.0,388.54999999999984,0.22642082429501084,10,10,0,1
Festival,Poisson,46,Background,28,26,142.84615384615384,115.0,351.75,0.364960026510915,10,10,0,1
Festival,Poisson,46,Total,38,36,167.19444444444446,145.0,386.0,0.354345498513965,10,10,0,1
Festival,Poisson,47,Target,10,10,122.5,127.0,171.99999999999994,0.16595918367346937,10,10,0,1
Festival,Poisson,47,Background,41,31,160.5483870967742,90.0,560.5,0.5090902020260942,10,10,0,1
Festival,Poisson,47,Total,51,41,151.26829268292684,95.0,557.0,0.46309215752589644,10,10,0,1
Festival,Poisson,48,Target,10,10,80.6,71.5,134.49999999999997,0.21339950372208438,10,10,0,1
Festival,Poisson,48,Background,54,51,145.3921568627451,105.0,265.5,0.3712347784697156,10,10,0,1
Festival,Poisson,48,Total,64,61,134.7704918032787,105.0,246.0,0.37300316462637667,10,10,0,1
Festival,Poisson,49,Target,10,10,198.8,198.0,291.1499999999999,0.16851106639839034,10,10,0,1
Festival,Poisson,49,Background,40,37,158.21621621621622,135.0,348.79999999999967,0.34362274813248506,10,10,0,1
Festival,Poisson,49,Total,50,47,166.85106382978722,145.0,333.7,0.3147102074481651,10,10,0,1
Festival,Poisson,50,Target,10,10,171.0,155.0,265.29999999999995,0.19801169590643275,10,10,0,1
Festival,Poisson,50,Background,38,37,122.70270270270271,95.0,294.3999999999997,0.3440171448982022,10,10,0,1
Festival,Poisson,50,Total,48,47,132.9787234042553,115.0,279.09999999999997,0.324936170212766,10,10,0,1
Festival,Poisson,51,Target,10,10,154.1,142.5,254.9999999999999,0.22225827384815056,10,10,0,1
Festival,Poisson,51,Background,30,29,122.41379310344827,105.0,213.0,0.2556580864497329,10,10,0,1
Festival,Poisson,51,Total,40,39,130.53846153846155,105.0,223.5000000000001,0.2532170899878619,10,10,0,1
Festival,Poisson,52,Target,10,10,122.2,99.0,224.24999999999997,0.28330605564648115,10,10,0,1
Festival,Poisson,52,Background,39,33,115.3030303030303,115.0,209.0,0.24768048421136465,10,10,0,1
Festival,Poisson,52,Total,49,43,116.90697674418605,115.0,214.0,0.2590661590203598,10,10,0,1
Festival,Poisson,53,Target,10,10,95.9,65.0,282.4499999999996,0.4672575599582899,10,10,0,1
Festival,Poisson,53,Background,36,33,153.45454545454547,135.0,331.4,0.32538656709272823,10,10,0,1
Festival,Poisson,53,Total,46,43,140.06976744186048,120.0,339.4,0.38254906579043896,10,10,0,1
Festival,Poisson,54,Target,10,10,61.8,57.5,92.14999999999999,0.17313915857605178,10,10,0,1
Festival,Poisson,54,Background,31,27,160.0,135.0,416.99999999999994,0.3611282578875171,10,10,0,1
Festival,Poisson,54,Total,41,37,133.45945945945945,105.0,361.99999999999955,0.3966262739045242,10,10,0,1
Festival,Poisson,55,Target,10,10,139.8,147.5,225.89999999999995,0.2652360515021459,10,10,0,1
Festival,Poisson,55,Background,40,38,133.71052631578948,115.0,247.39999999999998,0.3034783869731404,10,10,0,1
Festival,Poisson,55,Total,50,48,134.97916666666666,115.0,245.0,0.29965079487575247,10,10,0,1
Festival,Poisson,56,Target,10,10,86.6,74.0,159.1,0.3318706697459584,10,10,0,1
Festival,Poisson,56,Background,33,28,122.32142857142857,105.0,250.74999999999991,0.31621480709071953,10,10,0,1
Festival,Poisson,56,Total,43,38,112.92105263157895,100.0,223.24999999999991,0.3292141446601823,10,10,0,1
Festival,Poisson,57,Target,10,10,97.2,99.0,143.79999999999995,0.16419753086419753,10,10,0,1
Festival,Poisson,57,Background,42,42,140.57142857142858,115.0,339.75,0.3484965802038973,10,10,0,1
Festival,Poisson,57,Total,52,52,132.23076923076923,105.0,337.25,0.3332997717814472,10,10,0,1
Festival,Poisson,58,Target,10,10,126.0,99.0,266.04999999999995,0.3249206349206349,10,10,0,1
Festival,Poisson,58,Background,50,42,155.33333333333334,125.0,458.94999999999965,0.418666608274211,10,10,0,1
Festival,Poisson,58,Total,60,52,149.69230769230768,121.5,418.44999999999965,0.4065143489603922,10,10,0,1
Festival,Poisson,59,Target,10,10,119.7,99.0,226.45,0.25722639933166247,10,10,0,1
Festival,Poisson,59,Background,30,30,111.53333333333333,105.0,200.49999999999997,0.30472205618649134,10,10,0,1
Festival,Poisson,59,Total,40,40,113.575,104.0,216.94999999999993,0.29487673343605547,10,10,0,1
Festival,Poisson,60,Target,10,10,85.0,71.0,166.54999999999998,0.27741176470588236,10,10,0,1
Festival,Poisson,60,Background,46,44,117.88636363636364,110.0,236.25000000000003,0.27459820880873514,10,10,0,1
Festival,Poisson,60,Total,56,54,111.79629629629629,100.0,223.74999999999986,0.2848882508481647,10,10,0,1
Festival,Poisson,61,Target,10,10,104.2,72.5,239.79999999999987,0.3376199616122841,10,10,0,1
Festival,Poisson,61,Background,41,38,143.05263157894737,130.0,295.6499999999999,0.32391270671159134,10,10,0,1
Festival,Poisson,61,Total,51,48,134.95833333333334,110.0,289.55,0.33685808377071114,10,10,0,1
Festival,Poisson,62,Target,10,10,82.6,56.0,201.29999999999993,0.4101694915254238,10,10,0,1
Festival,Poisson,62,Background,43,34,129.76470588235293,112.5,286.8499999999998,0.30646365527171887,10,10,0,1
Festival,Poisson,62,Total,53,44,119.04545454545455,105.0,245.45000000000002,0.34114339268978444,10,10,0,1
Festival,Poisson,63,Target,10,10,128.1,124.0,233.69999999999993,0.2967213114754098,10,10,0,1
