Scenario,Condition,Seed,VehicleRecords,MaxOccupancy,MeanOccupancy,LastTimestamp
Holiday,Poisson,8,898,6.0,1.824053452115813,3593.0
Holiday,Poisson,9,1114,9.0,2.342908438061041,3598.0
Holiday,Poisson,10,1013,8.0,2.8499506416584404,3599.0
Holiday,Poisson,11,1006,6.0,1.614314115308151,3592.0
Holiday,Poisson,12,975,8.0,2.01025641025641,3599.0
Holiday,Poisson,13,1191,6.0,1.8547439126784215,3597.0
Holiday,Poisson,14,1006,8.0,2.430417495029821,3595.0
Holiday,Poisson,15,1180,9.0,2.3330508474576273,3598.0
Holiday,Poisson,16,1208,9.0,1.9627483443708609,3598.0
Holiday,Poisson,17,1147,9.0,2.4908456843940714,3599.0
Holiday,Poisson,18,1297,7.0,1.9861218195836545,3596.0
Holiday,Poisson,19,1195,7.0,2.0736401673640166,3596.0
Holiday,Poisson,20,1215,8.0,1.9530864197530864,3598.0
Holiday,Poisson,21,1267,9.0,2.462509865824783,3598.0
Holiday,Poisson,22,1597,7.0,2.505948653725736,3596.0
Holiday,Poisson,23,1185,8.0,1.778902953586498,3597.0
Holiday,Poisson,24,1118,8.0,1.930232558139535,3599.0
Holiday,Poisson,25,1239,8.0,2.4560129136400324,3513.0
Holiday,Poisson,26,1181,8.0,2.527519051651143,3597.0
Holiday,Poisson,27,1153,8.0,2.209019947961839,3506.0
Holiday,Poisson,28,1091,8.0,2.0137488542621447,3596.0
Holiday,Poisson,29,1000,8.0,1.695,3598.0
Holiday,Poisson,30,1037,7.0,2.116682738669238,3593.0
Holiday,Poisson,31,1158,8.0,1.9585492227979275,3594.0
Holiday,Poisson,32,1196,9.0,2.572742474916388,3595.0
Holiday,Poisson,33,1115,7.0,2.0780269058295966,3594.0
Holiday,Poisson,34,1393,6.0,2.059583632447954,3599.0
Holiday,Poisson,35,981,7.0,2.1855249745158,3599.0
Holiday,Poisson,36,1186,9.0,2.5008431703204046,3595.0
Holiday,Poisson,37,1111,9.0,2.187218721872187,3597.0
Holiday,Poisson,38,1150,9.0,2.4756521739130433,3598.0
Holiday,Poisson,39,1514,8.0,2.3936591809775427,3597.0
Holiday,Poisson,40,1034,9.0,1.9497098646034816,3598.0
Holiday,Poisson,41,1236,9.0,2.377831715210356,3596.0
Holiday,Poisson,42,1454,8.0,2.1650618982118295,3599.0
Holiday,Poisson,43,1109,8.0,2.053201082055906,3595.0
Holiday,Poisson,44,1226,9.0,2.4486133768352367,3598.0
Holiday,Poisson,45,1009,9.0,2.8820614469772052,3596.0
Holiday,Poisson,46,810,8.0,1.8049382716049382,3599.0
Holiday,Poisson,47,1106,8.0,1.8227848101265822,3597.0
Holiday,Poisson,48,1183,9.0,2.411665257819104,3597.0
Holiday,Poisson,49,1107,8.0,2.177055103884372,3592.0
Holiday,Poisson,50,1061,7.0,2.1206409048067862,3591.0
Holiday,Poisson,51,892,7.0,1.5582959641255605,3598.0
Holiday,Poisson,52,1075,8.0,2.3693023255813954,3599.0
Holiday,Poisson,53,1035,9.0,2.3951690821256038,3599.0
Holiday,Poisson,54,801,8.0,1.9488139825218478,3592.0
Holiday,Poisson,55,1059,9.0,2.2738432483474975,3598.0
Holiday,Poisson,56,894,5.0,1.5939597315436242,3596.0
Holiday,Poisson,57,1213,8.0,1.9192085737840066,3593.0
Holiday,Poisson,58,1089,8.0,2.5528007346189163,3594.0
Holiday,Poisson,59,884,9.0,2.274886877828054,3595.0
Holiday,Poisson,60,1166,8.0,2.3087478559176673,3596.0
Holiday,Poisson,61,1170,6.0,2.0358974358974358,3598.0
Holiday,Poisson,62,1038,9.0,2.340077071290944,3593.0
Holiday,Poisson,63,1377,8.0,2.063907044299201,3597.0
Holiday,Poisson,64,994,8.0,2.1388329979879277,3599.0
Holiday,Poisson,65,1155,7.0,2.1619047619047618,3598.0
Holiday,Poisson,66,1133,8.0,2.35216240070609,3592.0
Holiday,Poisson,67,1042,6.0,1.9568138195777351,3593.0
Holiday,Poisson,68,1064,6.0,2.0657894736842106,3598.0
Holiday,Poisson,69,1192,9.0,2.4093959731543624,3598.0
Holiday,Poisson,70,1057,9.0,2.0359508041627246,3598.0
Holiday,Poisson,71,1036,8.0,2.19015444015444,3599.0
Holiday,Poisson,72,1296,6.0,1.8410493827160495,3594.0
Holiday,Poisson,73,1060,6.0,2.1245283018867926,3593.0
Holiday,Poisson,74,1237,8.0,2.1932093775262733,3598.0
Holiday,Poisson,75,893,7.0,2.0201567749160136,3596.0
Holiday,Poisson,76,916,7.0,2.076419213973799,3599.0
Holiday,Poisson,77,1170,7.0,2.058119658119658,3593.0
Holiday,Poisson,78,1050,7.0,2.059047619047619,3595.0
Holiday,Poisson,79,1219,8.0,2.0024610336341264,3598.0
Holiday,Poisson,80,992,8.0,1.84375,3597.0
Holiday,Poisson,81,1134,8.0,2.2257495590828924,3599.0
Holiday,Poisson,82,1130,8.0,2.5247787610619468,3598.0
Holiday,Poisson,83,1320,8.0,2.003787878787879,3598.0
