Scenario,Condition,Seed,TotalSuccessN,TargetSuccessN,TotalWaitSum,TargetWaitSum,TargetWaitBurdenShare,TargetSuccessShare,ExcessBurden
Festival,Poisson,75,35,10,4610.0,1256.0,0.27245119305856835,0.2857142857142857,-0.013263092655717346
Festival,Poisson,76,39,10,3649.0,609.0,0.16689503973691422,0.2564102564102564,-0.08951521667334217
Festival,Poisson,77,50,10,6813.0,768.0,0.11272567151034786,0.2,-0.08727432848965215
Festival,Poisson,78,45,10,6310.0,1237.0,0.1960380348652932,0.2222222222222222,-0.026184187356929012
Festival,Poisson,79,51,10,7340.0,1984.0,0.27029972752043596,0.19607843137254902,0.07422129614788694
Festival,Poisson,80,41,10,5583.0,1370.0,0.24538778434533404,0.24390243902439024,0.0014853453209437983
Festival,Poisson,81,50,10,7427.0,870.0,0.11714016426551771,0.2,-0.0828598357344823
Festival,Poisson,82,48,10,6299.0,1887.0,0.299571360533418,0.20833333333333334,0.09123802720008464
Festival,Poisson,83,59,10,9223.0,1769.0,0.19180310094329395,0.1694915254237288,0.02231157551956514
Festival,Poisson,84,56,10,11690.0,3441.0,0.2943541488451668,0.17857142857142858,0.11578272027373823
Festival,Poisson,85,48,10,9091.0,2248.0,0.24727752722472776,0.20833333333333334,0.03894419389139442
Festival,Poisson,86,51,10,6721.0,1091.0,0.1623270346674602,0.19607843137254902,-0.03375139670508881
Festival,Poisson,87,48,10,6338.0,989.0,0.1560429157462922,0.20833333333333334,-0.052290417587041144
Festival,Poisson,88,49,10,5846.0,668.0,0.11426616489907629,0.20408163265306123,-0.08981546775398494
Festival,Poisson,89,54,10,9223.0,1103.0,0.11959232353897864,0.18518518518518517,-0.06559286164620654
Festival,Poisson,90,52,10,8410.0,1216.0,0.144589774078478,0.19230769230769232,-0.04771791822921431
Festival,Poisson,91,53,10,8046.0,822.0,0.10216256524981357,0.18867924528301888,-0.08651668003320531
Festival,Poisson,92,51,10,8379.0,937.0,0.11182718701515694,0.19607843137254902,-0.08425124435739208
Festival,Poisson,93,53,10,8609.0,1477.0,0.17156464165408294,0.18867924528301888,-0.017114603628935937
Festival,Poisson,94,45,10,7099.0,2523.0,0.3554021693196225,0.2222222222222222,0.13317994709740028
Festival,Poisson,95,42,10,5464.0,1277.0,0.23371156661786238,0.23809523809523808,-0.0043836714773757
