Scenario,Condition,Seed,PassengerID,CallTime,WaitTime,ExpectedWaitTime,IncreasedTime,Success,PassengerGroup
Festival,Poisson,6,33,1693,35.0,21.099355595742114,6.900644404257889,True,Background
Festival,Poisson,6,34,1706,109.0,126.15560718242575,25.36081087488236,True,Background
Festival,Poisson,6,35,1745,345.0,318.06681452247807,32.72798178506534,True,Background
Festival,Poisson,6,36,1754,65.0,73.13361820235379,-8.133618202353787,True,Background
Festival,Poisson,6,37,1796,320.0,406.8140428863419,422.8015766410947,True,Background
Festival,Poisson,6,39,2024,175.0,223.33763959843267,-65.33763959843265,True,Background
Festival,Poisson,6,40,2093,155.0,175.05833343473455,20.94166656526546,True,Background
Festival,Poisson,6,41,2114,135.0,172.14122081674074,207.85877918325923,True,Background
Festival,Poisson,6,42,2230,205.0,280.48569391056515,-25.48569391056517,True,Background
Festival,Poisson,6,43,2345,145.0,133.04870078391886,-67.04870078391889,True,Background
Festival,Poisson,6,44,2483,105.0,65.21219118899789,33.78780881100211,True,Background
Festival,Poisson,6,45,2582,225.0,249.34069242407173,-38.34069242407173,True,Background
Festival,Poisson,6,46,2915,105.0,110.30098399036784,-106.30098399036784,True,Background
Festival,Poisson,6,47,2932,55.0,28.188672988780056,48.81132701121994,True,Background
Festival,Poisson,6,48,2979,215.0,260.2734625794509,-23.273462579450864,True,Background
Festival,Poisson,6,49,3038,180.0,135.1555408827627,27.84445911723729,True,Background
Festival,Poisson,6,50,3057,55.0,82.13236502292193,-27.13236502292193,True,Background
Festival,Poisson,6,51,3099,85.0,164.21954844686374,-32.21954844686374,True,Background
Festival,Poisson,6,52,3346,165.0,136.10112519258325,,True,Background
Festival,Poisson,6,53,3421,55.0,36.21215053423842,,True,Background
Festival,Poisson,6,54,3557,,204.37003483259463,,False,Background
Festival,Poisson,6,55,3585,,82.31809971572766,,False,Background
Festival,Poisson,7,1,27,135.0,121.23919295193636,321.76080704806367,True,Background
Festival,Poisson,7,2,70,105.0,159.37940180072567,-7.379401800725645,True,Background
Festival,Poisson,7,3,143,115.0,138.12525999012544,-78.12525999012544,True,Background
Festival,Poisson,7,4,156,155.0,228.3318693164621,-78.3318693164621,True,Background
Festival,Poisson,7,5,237,145.0,155.10999865233708,-12.109998652337085,True,Background
Festival,Poisson,7,6,554,55.0,37.10467989858678,-15.104679898586769,True,Background
Festival,Poisson,7,7,582,55.0,40.21921085555562,-37.219210855555616,True,Background
Festival,Poisson,7,8,638,85.0,50.16729594556662,-28.1672959455666,True,Background
Festival,Poisson,7,9,649,165.0,167.29000290364075,-108.29000290364075,True,Background
Festival,Poisson,7,10,712,120.0,145.16408356631922,-79.16408356631922,True,Background
Festival,Poisson,7,11,1020,115.0,156.2694303384033,-16.26943033840331,True,Background
Festival,Poisson,7,12,1088,115.0,141.127785210332,-44.12778521033201,True,Background
Festival,Poisson,7,13,1108,155.0,126.37104901240888,-35.37104901240889,True,Background
Festival,Poisson,7,14,1140,75.0,112.16783627183456,107.83216372816544,True,Background
Festival,Poisson,7,15,1226,55.0,71.40379883659199,-43.40379883659199,True,Background
Festival,Poisson,7,16,1394,35.0,21.368350901984,-62.368350901984,True,Background
Festival,Poisson,7,17,1446,90.0,140.1197161249192,260.8802838750808,True,Background
Festival,Poisson,7,19,1504,15.0,0.3096457203629643,273.69035427963706,True,Background
Festival,Poisson,7,26,1647,155.0,170.21837917837595,6.78162082162406,True,Background
Festival,Poisson,7,27,1657,50.0,30.189774504754865,147.8102254952451,True,Background
Festival,Poisson,7,31,1918,165.0,198.1977446390952,-4.19774463909522,True,Background
Festival,Poisson,7,32,1972,130.0,83.26527084183381,357.7347291581662,True,Background
