Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10,SuccessRate
Holiday,Synchronized,95,Background,38,35,146.34285714285716,125.0,369.3,0.3657834551235566,10,10,0,1,0.9210526315789473
Holiday,Synchronized,96,Background,39,38,135.42105263157896,120.0,312.79999999999995,0.3211794546607482,10,10,0,1,0.9743589743589743
Holiday,Synchronized,97,Background,43,40,128.625,105.0,256.3999999999998,0.3000340136054422,10,10,0,1,0.9302325581395349
Holiday,Synchronized,98,Background,38,34,111.88235294117646,105.0,265.0,0.3156120492360982,10,10,0,1,0.8947368421052632
Holiday,Synchronized,99,Background,39,38,126.73684210526316,112.0,247.55,0.3168932505682811,10,10,0,1,0.9743589743589743
Holiday,Synchronized,100,Background,55,52,131.69230769230768,125.0,269.49999999999994,0.3219019590222861,10,10,0,1,0.9454545454545454
Holiday,Uniform,1,Background,42,42,173.0,127.5,443.0999999999999,0.4145268897539748,10,10,0,1,1.0
Holiday,Uniform,2,Background,39,36,95.83333333333331,82.5,177.5,0.3197262479871176,10,10,0,1,0.9230769230769231
Holiday,Uniform,3,Background,23,23,124.95652173913044,115.0,213.5,0.2666485129042994,10,10,0,1,1.0
Holiday,Uniform,4,Background,33,32,156.15625,127.5,340.7999999999999,0.3520549829897939,10,10,0,1,0.9696969696969697
Holiday,Uniform,5,Background,38,37,179.9189189189189,137.0,434.9999999999998,0.3300813206175982,10,10,0,1,0.9736842105263158
Holiday,Uniform,6,Background,45,42,135.54761904761904,105.0,283.44999999999976,0.3481259357774376,10,10,0,1,0.9333333333333333
Holiday,Uniform,7,Background,44,43,138.86046511627907,115.0,280.99999999999994,0.3202766861536185,10,10,0,1,0.9772727272727273
Holiday,Uniform,8,Background,30,28,111.39285714285714,110.0,188.0,0.2559542893784638,10,10,0,1,0.9333333333333333
Holiday,Uniform,9,Background,41,39,145.25641025641025,120.0,410.1,0.3430601760698848,10,10,0,1,0.9512195121951219
Holiday,Uniform,10,Background,35,31,136.5483870967742,125.0,247.5,0.2981337113158516,10,10,0,1,0.8857142857142857
Holiday,Uniform,11,Background,36,33,161.63636363636363,135.0,376.8,0.3126313756235016,10,10,0,1,0.9166666666666666
Holiday,Uniform,12,Background,37,36,138.91666666666666,122.5,295.75,0.3102212890755182,10,10,0,1,0.972972972972973
Holiday,Uniform,13,Background,37,35,146.14285714285714,135.0,265.0,0.2931434157240609,10,10,0,1,0.9459459459459459
Holiday,Uniform,14,Background,36,36,123.72222222222224,110.0,248.5,0.3270343760914034,10,10,0,1,1.0
Holiday,Uniform,15,Background,44,44,156.77272727272728,132.5,438.3500000000002,0.3570600173963467,10,10,0,1,1.0
Holiday,Uniform,16,Background,43,40,146.95,135.0,330.84999999999985,0.3176080299421572,10,10,0,1,0.9302325581395349
Holiday,Uniform,17,Background,40,37,130.72972972972974,95.0,302.99999999999983,0.3445401158859913,10,10,0,1,0.925
Holiday,Uniform,18,Background,46,44,168.5909090909091,140.0,351.15000000000003,0.3599536753351798,10,10,0,1,0.9565217391304348
Holiday,Uniform,19,Background,44,39,141.25641025641025,115.0,312.80000000000007,0.3213389744520621,10,10,0,1,0.8863636363636364
Holiday,Uniform,20,Background,44,41,157.9512195121951,135.0,413.0,0.3346314346404737,10,10,0,1,0.9318181818181818
