Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10,SuccessRate
Holiday,Uniform,100,Total,65,60,138.26666666666668,105.0,343.1,0.4349485695917711,10,10,0,1,0.9230769230769231
Lunch,Poisson,1,Total,52,50,151.06,122.5,407.0999999999999,0.3813239772275917,10,10,0,1,0.9615384615384616
Lunch,Poisson,2,Total,49,43,137.2325581395349,98.0,336.1,0.3667411514800408,10,10,0,1,0.8775510204081632
Lunch,Poisson,3,Total,33,33,105.33333333333331,95.0,199.4,0.3046866827073962,10,10,0,1,1.0
Lunch,Poisson,4,Total,43,41,158.02439024390245,105.0,461.0,0.4212860310421286,10,10,0,1,0.9534883720930233
Lunch,Poisson,5,Total,48,47,150.25531914893617,115.0,342.8999999999998,0.3748199834896991,10,10,0,1,0.9791666666666666
Lunch,Poisson,6,Total,55,52,155.53846153846155,126.0,365.5999999999999,0.3926614928098607,10,10,0,1,0.9454545454545454
Lunch,Poisson,7,Total,54,48,158.77083333333334,115.0,475.5,0.403717250579539,10,10,0,1,0.8888888888888888
Lunch,Poisson,8,Total,40,38,99.15789473684212,100.0,173.74999999999997,0.251773941222483,10,10,0,1,0.95
Lunch,Poisson,9,Total,51,50,153.54,137.5,321.89999999999986,0.3472736746124788,10,10,0,1,0.9803921568627451
Lunch,Poisson,10,Total,45,43,131.2325581395349,95.0,472.0999999999999,0.418654105312612,10,10,0,1,0.9555555555555556
Lunch,Poisson,11,Total,46,43,143.6279069767442,115.0,398.4999999999999,0.380768767321364,10,10,0,1,0.9347826086956522
Lunch,Poisson,12,Total,47,44,145.22727272727272,140.0,292.0,0.3218736662398634,10,10,0,1,0.9361702127659575
Lunch,Poisson,13,Total,47,47,194.40425531914892,195.0,414.1,0.3487945901513369,10,10,0,1,1.0
Lunch,Poisson,14,Total,46,45,92.68888888888888,75.0,183.2,0.3170143051226724,10,10,0,1,0.9782608695652174
Lunch,Poisson,15,Total,54,52,148.30769230769232,132.5,354.5499999999996,0.3580184727098627,10,10,0,1,0.9629629629629629
Lunch,Poisson,16,Total,53,47,137.10638297872342,125.0,262.1999999999999,0.2884821110186615,10,10,0,1,0.8867924528301887
Lunch,Poisson,17,Total,50,48,124.35416666666669,95.0,328.35,0.3943953481878595,10,10,0,1,0.96
Lunch,Poisson,18,Total,56,51,157.50980392156862,125.0,440.5,0.3872457485421656,10,9,1,1,0.9107142857142857
Lunch,Poisson,19,Total,54,51,138.86274509803923,115.0,295.5,0.3233106854715905,10,10,0,1,0.9444444444444444
Lunch,Poisson,20,Total,54,50,113.54,110.0,198.24999999999997,0.2786788796899771,10,9,1,1,0.9259259259259259
Lunch,Poisson,21,Total,53,51,159.76470588235293,145.0,319.5,0.3092687246719994,10,10,0,1,0.9622641509433962
Lunch,Poisson,22,Total,63,58,167.82758620689654,132.5,333.1,0.3633123853113509,10,8,2,1,0.9206349206349206
Lunch,Poisson,23,Total,50,47,155.38297872340425,125.0,320.6,0.3445975276846298,10,10,0,1,0.94
Lunch,Poisson,24,Total,47,45,134.15555555555557,105.0,306.99999999999994,0.3328805698194467,10,10,0,1,0.9574468085106383
Lunch,Poisson,25,Total,52,51,143.86274509803923,105.0,353.0,0.3813227076301421,10,10,0,1,0.9807692307692307
Lunch,Poisson,26,Total,53,43,169.32558139534885,135.0,383.3999999999998,0.3334962294343672,10,10,0,1,0.8113207547169812
Lunch,Poisson,27,Total,48,46,182.30434782608697,150.0,464.25,0.3629962981781229,10,10,0,1,0.9583333333333334
Lunch,Poisson,28,Total,49,47,126.04255319148936,95.0,280.4999999999997,0.3896590860114644,10,10,0,1,0.9591836734693877
